Deal_ID,Status,Timestamp,Has_Error,Deal_Value
1,New,2025-01-09 14:05:06,false,547.53
1,In Review,2025-01-10 07:42:35,false,547.53
1,Rejected,2025-01-12 13:15:46,false,547.53
2,New,2025-01-30 00:33:19,false,679.73
2,In Review,2025-01-30 04:38:28,false,679.73
2,Revision,2025-01-30 21:56:45,true,679.73
2,In Review,2025-02-01 11:19:15,false,679.73
2,Revision,2025-02-01 15:10:42,true,679.73
2,Approved,2025-02-02 07:05:49,false,679.73
3,New,2025-03-15 01:53:23,false,830.34
3,In Review,2025-03-17 12:32:59,false,830.34
3,Revision,2025-03-17 15:00:17,true,830.34
3,In Review,2025-03-20 01:24:43,false,830.34
3,Approved,2025-03-22 04:16:54,false,830.34
4,New,2025-11-13 05:07:39,false,602.94
4,In Review,2025-11-13 13:37:11,false,602.94
4,Approved,2025-11-13 22:23:23,false,602.94
5,New,2025-09-24 16:27:21,false,956.76
5,In Review,2025-09-26 07:59:30,false,956.76
5,Rejected,2025-09-29 06:06:35,false,956.76
6,New,2025-10-02 00:53:05,false,856.67
6,In Review,2025-10-04 15:12:15,false,856.67
6,Revision,2025-10-06 09:37:08,true,856.67
6,In Review,2025-10-08 12:56:20,false,856.67
6,Approved,2025-10-08 18:08:48,false,856.67
7,New,2025-01-27 15:57:08,false,509.51
7,In Review,2025-01-28 01:01:21,false,509.51
7,Approved,2025-01-28 22:28:50,false,509.51
8,New,2025-05-03 11:49:59,false,488.56
8,In Review,2025-05-04 08:31:18,false,488.56
8,Revision,2025-05-07 04:05:15,true,488.56
8,In Review,2025-05-09 03:27:00,false,488.56
8,Approved,2025-05-11 00:05:21,false,488.56
9,New,2025-02-24 06:08:51,false,641.51
9,In Review,2025-02-27 05:24:51,false,641.51
9,Rejected,2025-03-01 04:12:51,false,641.51
10,New,2025-10-06 11:23:13,false,998.4
10,In Review,2025-10-07 05:25:14,false,998.4
10,Rejected,2025-10-07 09:40:03,false,998.4
11,New,2025-03-11 22:59:02,false,1148.62
11,In Review,2025-03-14 14:19:47,false,1148.62
11,Approved,2025-03-15 14:21:26,false,1148.62
12,New,2025-10-30 03:13:00,false,712.97
12,In Review,2025-10-30 23:45:30,false,712.97
12,Revision,2025-10-31 19:01:20,true,712.97
12,In Review,2025-11-02 12:19:05,false,712.97
12,Approved,2025-11-03 08:42:36,false,712.97
13,New,2025-05-13 03:15:07,false,497.39
13,In Review,2025-05-16 03:04:46,false,497.39
13,Revision,2025-05-17 16:44:47,true,497.39
13,In Review,2025-05-18 01:06:36,false,497.39
13,Revision,2025-05-18 06:24:29,true,497.39
13,Approved,2025-05-18 16:05:01,false,497.39
14,New,2025-05-20 15:30:24,false,357.17
14,In Review,2025-05-21 20:13:13,false,357.17
14,Revision,2025-05-24 19:56:55,true,357.17
14,Rejected,2025-05-26 10:59:12,false,357.17
15,New,2025-01-05 02:55:46,false,948.65
15,In Review,2025-01-07 04:38:57,false,948.65
15,Revision,2025-01-08 20:14:14,true,948.65
15,In Review,2025-01-09 16:54:54,false,948.65
15,Revision,2025-01-11 15:46:56,true,948.65
15,Approved,2025-01-12 01:35:27,false,948.65
16,New,2025-11-12 02:13:19,false,1088.27
16,In Review,2025-11-12 22:39:33,false,1088.27
16,Revision,2025-11-14 11:42:01,true,1088.27
16,In Review,2025-11-15 02:12:21,false,1088.27
16,Approved,2025-11-17 20:05:23,false,1088.27
17,New,2025-07-31 04:28:47,false,848.07
17,In Review,2025-07-31 17:10:43,false,848.07
17,Approved,2025-08-03 00:33:16,false,848.07
